x1,x2,y1
-1,-1,40
-1,-0.931,40.6733365
-1,-0.862,41.313346
-1,-0.7932,41.91831816
-1,-0.7242,42.49177026
-1,-0.6552,43.03189536
-1,-0.5862,43.53869346
-1,-0.5172,44.01216456
-1,-0.4482,44.45230866
-1,-0.3794,44.85799474
-1,-0.3104,45.23158144
-1,-0.2414,45.57184114
-1,-0.1724,45.87877384
-1,-0.1034,46.15237954
-1,-0.0344,46.39265824
-1,0.0344,46.59905824
-1,0.1034,46.77277954
-1,0.1724,46.91317384
-1,0.2414,47.02024114
-1,0.3104,47.09398144
-1,0.3794,47.13439474
-1,0.4482,47.14150866
-1,0.5172,47.11536456
-1,0.5862,47.05589346
-1,0.6552,46.96309536
-1,0.7242,46.83697026
-1,0.7932,46.67751816
-1,0.862,46.485346
-1,0.931,46.2593365
-1,1,46
-0.931,-1,40.6733365
-0.931,-0.931,41.33239
-0.931,-0.862,41.9581165
-0.931,-0.7932,42.54884706
-0.931,-0.7242,43.10801616
-0.931,-0.6552,43.63385826
-0.931,-0.5862,44.12637336
-0.931,-0.5172,44.58556146
-0.931,-0.4482,45.01142256
-0.931,-0.3794,45.40286704
-0.931,-0.3104,45.76217074
-0.931,-0.2414,46.08814744
-0.931,-0.1724,46.38079714
-0.931,-0.1034,46.64011984
-0.931,-0.0344,46.86611554
-0.931,0.0344,47.05827394
-0.931,0.1034,47.21771224
-0.931,0.1724,47.34382354
-0.931,0.2414,47.43660784
-0.931,0.3104,47.49606514
-0.931,0.3794,47.52219544
-0.931,0.4482,47.51506776
-0.931,0.5172,47.47464066
-0.931,0.5862,47.40088656
-0.931,0.6552,47.29380546
-0.931,0.7242,47.15339736
-0.931,0.7932,46.97966226
-0.931,0.862,46.7732485
-0.931,0.931,46.532956
-0.931,1,46.2593365
-0.862,-1,41.313346
-0.862,-0.931,41.9581165
-0.862,-0.862,42.56956
-0.862,-0.7932,43.14604896
-0.862,-0.7242,43.69093506
-0.862,-0.6552,44.20249416
-0.862,-0.5862,44.68072626
-0.862,-0.5172,45.12563136
-0.862,-0.4482,45.53720946
-0.862,-0.3794,45.91441234
-0.862,-0.3104,46.25943304
-0.862,-0.2414,46.57112674
-0.862,-0.1724,46.84949344
-0.862,-0.1034,47.09453314
-0.862,-0.0344,47.30624584
-0.862,0.0344,47.48416264
-0.862,0.1034,47.62931794
-0.862,0.1724,47.74114624
-0.862,0.2414,47.81964754
-0.862,0.3104,47.86482184
-0.862,0.3794,47.87666914
-0.862,0.4482,47.85529986
-0.862,0.5172,47.80058976
-0.862,0.5862,47.71255266
-0.862,0.6552,47.59118856
-0.862,0.7242,47.43649746
-0.862,0.7932,47.24847936
-0.862,0.862,47.027824
-0.862,0.931,46.7732485
-0.862,1,46.485346
-0.7932,-1,41.91831816
-0.7932,-0.931,42.54884706
-0.7932,-0.862,43.14604896
-0.7932,-0.7932,43.7083376
-0.7932,-0.7242,44.2389821
-0.7932,-0.6552,44.7362996
-0.7932,-0.5862,45.2002901
-0.7932,-0.5172,45.6309536
-0.7932,-0.4482,46.0282901
-0.7932,-0.3794,46.39129266
-0.7932,-0.3104,46.72207176
-0.7932,-0.2414,47.01952386
-0.7932,-0.1724,47.28364896
-0.7932,-0.1034,47.51444706
-0.7932,-0.0344,47.71191816
-0.7932,0.0344,47.87563464
-0.7932,0.1034,48.00654834
-0.7932,0.1724,48.10413504
-0.7932,0.2414,48.16839474
-0.7932,0.3104,48.19932744
-0.7932,0.3794,48.19693314
-0.7932,0.4482,48.16136354
-0.7932,0.5172,48.09241184
-0.7932,0.5862,47.99013314
-0.7932,0.6552,47.85452744
-0.7932,0.7242,47.68559474
-0.7932,0.7932,47.48333504
-0.7932,0.862,47.24847936
-0.7932,0.931,46.97966226
-0.7932,1,46.67751816
-0.7242,-1,42.49177026
-0.7242,-0.931,43.10801616
-0.7242,-0.862,43.69093506
-0.7242,-0.7932,44.2389821
-0.7242,-0.7242,44.7553436
-0.7242,-0.6552,45.2383781
-0.7242,-0.5862,45.6880856
-0.7242,-0.5172,46.1044661
-0.7242,-0.4482,46.4875196
-0.7242,-0.3794,46.83628056
-0.7242,-0.3104,47.15277666
-0.7242,-0.2414,47.43594576
-0.7242,-0.1724,47.68578786
-0.7242,-0.1034,47.90230296
-0.7242,-0.0344,48.08549106
-0.7242,0.0344,48.23496594
-0.7242,0.1034,48.35159664
-0.7242,0.1724,48.43490034
-0.7242,0.2414,48.48487704
-0.7242,0.3104,48.50152674
-0.7242,0.3794,48.48484944
-0.7242,0.4482,48.43503824
-0.7242,0.5172,48.35180354
-0.7242,0.5862,48.23524184
-0.7242,0.6552,48.08535314
-0.7242,0.7242,47.90213744
-0.7242,0.7932,47.68559474
-0.7242,0.862,47.43649746
-0.7242,0.931,47.15339736
-0.7242,1,46.83697026
-0.6552,-1,43.03189536
-0.6552,-0.931,43.63385826
-0.6552,-0.862,44.20249416
-0.6552,-0.7932,44.7362996
-0.6552,-0.7242,45.2383781
-0.6552,-0.6552,45.7071296
-0.6552,-0.5862,46.1425541
-0.6552,-0.5172,46.5446516
-0.6552,-0.4482,46.9134221
-0.6552,-0.3794,47.24794146
-0.6552,-0.3104,47.55015456
-0.6552,-0.2414,47.81904066
-0.6552,-0.1724,48.05459976
-0.6552,-0.1034,48.25683186
-0.6552,-0.0344,48.42573696
-0.6552,0.0344,48.56097024
-0.6552,0.1034,48.66331794
-0.6552,0.1724,48.73233864
-0.6552,0.2414,48.76803234
-0.6552,0.3104,48.77039904
-0.6552,0.3794,48.73943874
-0.6552,0.4482,48.67538594
-0.6552,0.5172,48.57786824
-0.6552,0.5862,48.44702354
-0.6552,0.6552,48.28285184
-0.6552,0.7242,48.08535314
-0.6552,0.7932,47.85452744
-0.6552,0.862,47.59118856
-0.6552,0.931,47.29380546
-0.6552,1,46.96309536
-0.5862,-1,43.53869346
-0.5862,-0.931,44.12637336
-0.5862,-0.862,44.68072626
-0.5862,-0.7932,45.2002901
-0.5862,-0.7242,45.6880856
-0.5862,-0.6552,46.1425541
-0.5862,-0.5862,46.5636956
-0.5862,-0.5172,46.9515101
-0.5862,-0.4482,47.3059976
-0.5862,-0.3794,47.62627536
-0.5862,-0.3104,47.91420546
-0.5862,-0.2414,48.16880856
-0.5862,-0.1724,48.39008466
-0.5862,-0.1034,48.57803376
-0.5862,-0.0344,48.73265586
-0.5862,0.0344,48.85364754
-0.5862,0.1034,48.94171224
-0.5862,0.1724,48.99644994
-0.5862,0.2414,49.01786064
