x1,x2,y1
-1,-1,40
-1,-0.931,40.6876195
-1,-0.862,41.370478
-1,-0.7932,42.04661688
-1,-0.7242,42.71996718
-1,-0.6552,43.38855648
-1,-0.5862,44.05238478
-1,-0.5172,44.71145208
-1,-0.4482,45.36575838
-1,-0.3794,46.01342782
-1,-0.3104,46.65822592
-1,-0.2414,47.29826302
-1,-0.1724,47.93353912
-1,-0.1034,48.56405422
-1,-0.0344,49.18980832
-1,0.0344,49.80900832
-1,0.1034,50.42525422
-1,0.1724,51.03673912
-1,0.2414,51.64346302
-1,0.3104,52.24542592
-1,0.3794,52.84262782
-1,0.4482,53.43335838
-1,0.5172,54.02105208
-1,0.5862,54.60398478
-1,0.6552,55.18215648
-1,0.7242,55.75556718
-1,0.7932,56.32421688
-1,0.862,56.886478
-1,0.931,57.4456195
-1,1,58
-0.931,-1,40.6876195
-0.931,-0.931,41.33239
-0.931,-0.862,41.9723995
-0.931,-0.7932,42.60581358
-0.931,-0.7242,43.23631488
-0.931,-0.6552,43.86205518
-0.931,-0.5862,44.48303448
-0.931,-0.5172,45.09925278
-0.931,-0.4482,45.71071008
-0.931,-0.3794,46.31565472
-0.931,-0.3104,46.91760382
-0.931,-0.2414,47.51479192
-0.931,-0.1724,48.10721902
-0.931,-0.1034,48.69488512
-0.931,-0.0344,49.27779022
-0.931,0.0344,49.85426542
-0.931,0.1034,50.42766232
-0.931,0.1724,50.99629822
-0.931,0.2414,51.56017312
-0.931,0.3104,52.11928702
-0.931,0.3794,52.67363992
-0.931,0.4482,53.22164568
-0.931,0.5172,53.76649038
-0.931,0.5862,54.30657408
-0.931,0.6552,54.84189678
-0.931,0.7242,55.37245848
-0.931,0.7932,55.89825918
-0.931,0.862,56.4177955
-0.931,0.931,56.934088
-0.931,1,57.4456195
-0.862,-1,41.370478
-0.862,-0.931,41.9723995
-0.862,-0.862,42.56956
-0.862,-0.7932,43.16024928
-0.862,-0.7242,43.74790158
-0.862,-0.6552,44.33079288
-0.862,-0.5862,44.90892318
-0.862,-0.5172,45.48229248
-0.862,-0.4482,46.05090078
-0.862,-0.3794,46.61312062
-0.862,-0.3104,47.17222072
-0.862,-0.2414,47.72655982
-0.862,-0.1724,48.27613792
-0.862,-0.1034,48.82095502
-0.862,-0.0344,49.36101112
-0.862,0.0344,49.89476152
-0.862,0.1034,50.42530942
-0.862,0.1724,50.95109632
-0.862,0.2414,51.47212222
-0.862,0.3104,51.98838712
-0.862,0.3794,52.49989102
-0.862,0.4482,53.00517198
-0.862,0.5172,53.50716768
-0.862,0.5862,54.00440238
-0.862,0.6552,54.49687608
-0.862,0.7242,54.98458878
-0.862,0.7932,55.46754048
-0.862,0.862,55.944352
-0.862,0.931,56.4177955
-0.862,1,56.886478
-0.7932,-1,42.04661688
-0.7932,-0.931,42.60581358
-0.7932,-0.862,43.16024928
-0.7932,-0.7932,43.7083376
-0.7932,-0.7242,44.2532651
-0.7932,-0.6552,44.7934316
-0.7932,-0.5862,45.3288371
-0.7932,-0.5172,45.8594816
-0.7932,-0.4482,46.3853651
-0.7932,-0.3794,46.90498398
-0.7932,-0.3104,47.42135928
-0.7932,-0.2414,47.93297358
-0.7932,-0.1724,48.43982688
-0.7932,-0.1034,48.94191918
-0.7932,-0.0344,49.43925048
-0.7932,0.0344,49.93039992
-0.7932,0.1034,50.41822302
-0.7932,0.1724,50.90128512
-0.7932,0.2414,51.37958622
-0.7932,0.3104,51.85312632
-0.7932,0.3794,52.32190542
-0.7932,0.4482,52.78458542
-0.7932,0.5172,53.24385632
-0.7932,0.5862,53.69836622
-0.7932,0.6552,54.14811512
-0.7932,0.7242,54.59310302
-0.7932,0.7932,55.03332992
-0.7932,0.862,55.46754048
-0.7932,0.931,55.89825918
-0.7932,1,56.32421688
-0.7242,-1,42.71996718
-0.7242,-0.931,43.23631488
-0.7242,-0.862,43.74790158
-0.7242,-0.7932,44.2532651
-0.7242,-0.7242,44.7553436
-0.7242,-0.6552,45.2526611
-0.7242,-0.5862,45.7452176
-0.7242,-0.5172,46.2330131
-0.7242,-0.4482,46.7160476
-0.7242,-0.3794,47.19294168
-0.7242,-0.3104,47.66646798
-0.7242,-0.2414,48.13523328
-0.7242,-0.1724,48.59923758
-0.7242,-0.1034,49.05848088
-0.7242,-0.0344,49.51296318
-0.7242,0.0344,49.96138782
-0.7242,0.1034,50.40636192
-0.7242,0.1724,50.84657502
-0.7242,0.2414,51.28202712
-0.7242,0.3104,51.71271822
-0.7242,0.3794,52.13864832
-0.7242,0.4482,52.55860352
-0.7242,0.5172,52.97502542
-0.7242,0.5862,53.38668632
-0.7242,0.6552,53.79358622
-0.7242,0.7242,54.19572512
-0.7242,0.7932,54.59310302
-0.7242,0.862,54.98458878
-0.7242,0.931,55.37245848
-0.7242,1,55.75556718
-0.6552,-1,43.38855648
-0.6552,-0.931,43.86205518
-0.6552,-0.862,44.33079288
-0.6552,-0.7932,44.7934316
-0.6552,-0.7242,45.2526611
-0.6552,-0.6552,45.7071296
-0.6552,-0.5862,46.1568371
-0.6552,-0.5172,46.6017836
-0.6552,-0.4482,47.0419691
-0.6552,-0.3794,47.47613838
-0.6552,-0.3104,47.90681568
-0.6552,-0.2414,48.33273198
-0.6552,-0.1724,48.75388728
-0.6552,-0.1034,49.17028158
-0.6552,-0.0344,49.58191488
-0.6552,0.0344,49.98761472
-0.6552,0.1034,50.38973982
-0.6552,0.1724,50.78710392
-0.6552,0.2414,51.17970702
-0.6552,0.3104,51.56754912
-0.6552,0.3794,51.95063022
-0.6552,0.4482,52.32786062
-0.6552,0.5172,52.70143352
-0.6552,0.5862,53.07024542
-0.6552,0.6552,53.43429632
-0.6552,0.7242,53.79358622
-0.6552,0.7932,54.14811512
-0.6552,0.862,54.49687608
